"Date","Monthly 1 month growth rate of monetary financial institutions' sterling and all foreign currency M3 (UK estimate of EMU aggregate) liabilities to private and public sectors (in percent) seasonally adjusted                          LPMVWYP"
"31 May 05","1.3"
"30 Apr 05","1.2"
"31 Mar 05","0.7"
"28 Feb 05","0.4"
"31 Jan 05","1.2"
"31 Dec 04","0.5"
"30 Nov 04","1.3"
"31 Oct 04","0.9"
"30 Sep 04","-0.3"
"31 Aug 04","1.1"
"31 Jul 04","0.2"
"30 Jun 04","1.6"
"31 May 04","0.2"
"30 Apr 04","0.6"
"31 Mar 04","0.9"
"29 Feb 04","-0.5"
"31 Jan 04","2.9"
"31 Dec 03","1"
"30 Nov 03","1"
"31 Oct 03","1.1"
"30 Sep 03","0.9"
"31 Aug 03","0.5"
"31 Jul 03","0.5"
"30 Jun 03","2"
"31 May 03","0.4"
"30 Apr 03","1"
"31 Mar 03","0"
"28 Feb 03","1"
"31 Jan 03","-0.2"
"31 Dec 02","0"
"30 Nov 02","0.5"
"31 Oct 02","0.7"
"30 Sep 02","1.1"
"31 Aug 02","1.1"
"31 Jul 02","0.6"
"30 Jun 02","-0.2"
"31 May 02","0.7"
"30 Apr 02","0.1"
"31 Mar 02","0.6"
"28 Feb 02","0.5"
"31 Jan 02","-0.2"
"31 Dec 01","0.5"
"30 Nov 01","0.5"
"31 Oct 01","1.3"
"30 Sep 01","0.4"
"31 Aug 01","1.1"
"31 Jul 01","1.2"
"30 Jun 01","0.5"
"31 May 01","0.1"
"30 Apr 01","0.6"
"31 Mar 01","2.5"
